"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
78,"Acarape do Meio","Redenção","10","pronto","","392 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,12950,392,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0078.rds",202793
1,"Acaraú Mirim","Massapê","6","pronto","","476 data(s) duplicada(s) nos niveis",1985-12-31,2026-04-23,15092,476,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0001.rds",182031
32,"Adauto Bezerra","Pereiro","4","pronto","","550 data(s) duplicada(s) nos niveis",1992-02-01,2026-04-23,9456,550,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0032.rds",147953
45,"Amanary","Maranguape","10","pronto","","430 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,12519,430,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0045.rds",177066
112,"Angicos","Coreaú","7","pronto","","129 data(s) duplicada(s) nos niveis",1998-07-01,2026-04-23,8157,129,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0112.rds",155717
234,"Aracoiaba","Aracoiaba","10","pronto","","456 data(s) duplicada(s) nos niveis",2003-02-01,2026-04-23,8932,456,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0234.rds",162379
31,"Araras","Varjota","6","pronto","","600 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,15137,600,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0031.rds",202264
240,"Arneiroz II","Arneiroz","1","pronto","","370 data(s) duplicada(s) nos niveis",2005-03-03,2026-04-23,7798,370,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0240.rds",142374
83,"Arrebita","Forquilha","6","pronto","","34 data(s) duplicada(s) nos niveis",1995-05-17,2026-04-23,10047,34,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0083.rds",159418
47,"Atalho","Brejo Santo ","2","pronto","","257 data(s) duplicada(s) nos niveis",1992-02-01,2026-04-21,8776,257,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0047.rds",178005
49,"Ayres de Sousa","Sobral","6","pronto","","310 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,13915,310,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"reservatorios/reservatorio_0049.rds",199881
2,"Banabuiú","Banabuiú","3","pronto","","363 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,14943,363,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"reservatorios/reservatorio_0002.rds",223049
