2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
       1    0.00      90       8
       2    1.40      90       8
       3    0.00      90       8
       4    0.00      90       8
       5    0.00      90       8
       6    1.40      90       8
       7    0.00      90       8
       8    0.00      90       8
       9    1.40      90       8
      10    1.40      90       8
      11    1.40      90       8
      12    0.00      90       8
      13    1.40      90       8
      14    1.40      90       8
      15    0.00      90       8
      16    1.40      90       8
      17    1.40      90       8
      18    1.40      90       8
      19    0.00      90       8
      20    0.34      90       8
      21    0.37      90       8
      22    1.40      90       8
      23    0.27      90       8
      24    0.30      90       8
      25    0.27      90       8
      26    0.31      90       8
      27    0.40      90       8
      28    0.40      90       8
      29    0.48      90       8
      30    1.32      90       8
      31    0.67      90       8
      32    1.47      90       8
      33    0.69      90       8
      34    1.46      90       8
      35    1.46      90       8
      36    1.46      90       8
      37    1.46      90       8
      38    0.00      90       8
      39    1.47      90       8
      40    1.47      90       8
      41    0.00      90       8
      42    0.00      90       8
      43    1.47      90       8
      44    1.47      90       8
      45    0.00      90       8
      46    0.00      90       8
      47    1.47      90       8
      48    0.00      90       8
      49    0.00      90       8
      50    0.00      90       8
      51    0.00      90       8
      52    0.00      90       8
      53    0.00      90       8
      54    1.48      90       8
      55    1.48      90       8
      56    0.00      90       8
      57    1.48      90       8
      58    0.00      90       8
      59    0.00      90       8
      60    0.00      90       8
      61    1.66      90       8
      62    0.00      90       8
      63    0.00      90       8
      64    0.00      90       8
      65    0.00      90       8
      66    1.66      90       8
      67    0.00      90       8
      68    0.00      90       8
      69    0.00      90       8
      70    1.67      90       8
      71    1.67      90       8
      72    0.00      90       8
      73    1.67      90       8
      74    1.67      90       8
      75    0.00      90       8
      76    0.00      90       8
      77    0.00      90       8
      78    1.67      90       8
      79    0.00      90       8
      80    0.00      90       8
      81    0.00      90       8
      82    1.68      90       8
      83    0.00      90       8
      84    0.00      90       8
      85    0.00      90       8
      86    0.00      90       8
      87    0.00      90       8
      88    1.68      90       8
      89    0.52      90       8
      90    1.68      90       8
      91    0.74      90       8
      92    0.73      90       8
      93    0.73      90       8
      94    1.63      90       8
      95    1.63      90       8
      96    1.63      90       8
      97    0.29      90       8
      98    0.28      90       8
      99    0.28      90       8
     100    0.36      90       8
     101    0.71      90       8
     102    0.50      90       8
     103    1.58      90       8
     104    0.70      90       8
     105    1.58      90       8
     106    1.58      90       8
     107    1.58      90       8
     108    0.00      90       8
     109    1.58      90       8
     110    1.58      90       8
     111    0.00      90       8
     112    1.58      90       8
     113    1.58      90       8
     114    0.00      90       8
     115    1.59      90       8
     116    0.00      90       8
     117    0.00      90       8
     118    0.00      90       8
     119    0.00      90       8
     120    0.00      90       8
     121    0.00      90       8
     122    1.61      90       8
     123    1.61      90       8
     124    0.71      90       8
     125    1.61      90       8
     126    0.00      90       8
     127    0.00      90       8
     128    1.61      90       8
     129    0.00      90       8
     130    0.71      90       8
     131    0.00      90       8
     132    1.61      90       8
     133    0.00      90       8
     134    1.61      90       8
     135    0.00      90       8
     136    1.61      90       8
     137    0.00      90       8
     138    0.00      90       8
     139    1.61      90       8
     140    0.00      90       8
     141    0.00      90       8
     142    1.61      90       8
     143    0.00      90       8
     144    0.00      90       8
     145    0.00      90       8
     146    1.62      90       8
     147    0.00      90       8
     148    0.00      90       8
     149    1.62      90       8
     150    0.00      90       8
     151    1.62      90       8
     152    0.72      90       8
     153    1.52      90       8
     154    0.00      90       8
     155    1.52      90       8
     156    0.00      90       8
     157    1.52      90       8
     158    0.00      90       8
     159    0.00      90       8
     160    0.00      90       8
     161    0.00      90       8
     162    1.53      90       8
     163    0.00      90       8
     164    1.53      90       8
     165    0.00      90       8
     166    0.00      90       8
     167    0.00      90       8
     168    1.53      90       8
     169    0.00      90       8
     170    0.00      90       8
     171    0.00      90       8
     172    0.00      90       8
     173    1.53      90       8
     174    0.00      90       8
     175    0.00      90       8
     176    0.00      90       8
     177    1.36      90       8
     178    0.00      90       8
     179    0.00      90       8
     180    0.00      90       8
     181    0.00      90       8
     182    0.00      90       8
     183    0.00      90       8
     184    0.00      90       8
     185    0.00      90       8
     186    0.00      90       8
     187    0.00      90       8
     188    0.00      90       8
     189    0.00      90       8
     190    0.66      90       8
     191    1.22      90       8
     192    0.00      90       8
     193    0.00      90       8
     194    0.00      90       8
     195    1.22      90       8
     196    0.00      90       8
     197    0.00      90       8
     198    0.00      90       8
     199    0.00      90       8
     200    1.22      90       8
     201    0.00      90       8
     202    1.22      90       8
     203    0.00      90       8
     204    0.00      90       8
     205    0.00      90       8
