2016a   2021EdsoQueiroz Braco          2,       EngRev,     0.13
JDAY    Cin (mg/L)
----    PO4     CLO     DO
       1    0.00       1       5
       2    7.51       1       5
       3    0.00       1       5
       4    0.00       1       5
       5    0.00       1       5
       6    7.51       1       5
       7    0.00       1       5
       8    0.00       1       5
       9    7.51       1       5
      10    7.51       1       5
      11    7.51       1       5
      12    0.00       1       5
      13    7.51       1       5
      14    7.51       1       5
      15    0.00       1       5
      16    7.51       1       5
      17    7.51       1       5
      18    7.51       1       5
      19    0.00       1       5
      20    1.30       1       5
      21    1.52       1       5
      22    7.51       1       5
      23    0.55       1       5
      24    0.39       1       5
      25    0.58       1       5
      26    1.05       1       5
      27    1.73       1       5
      28    1.72       1       5
      29    2.25       1       5
      30    7.07       1       5
      31    3.35       1       5
      32    7.89       1       5
      33    3.50       1       5
      34    7.89       1       5
      35    7.89       1       5
      36    7.89       1       5
      37    7.89       1       5
      38    0.00       1       5
      39    7.89       1       5
      40    7.89       1       5
      41    0.00       1       5
      42    0.00       1       5
      43    7.89       1       5
      44    7.89       1       5
      45    0.00       1       5
      46    0.00       1       5
      47    7.89       1       5
      48    0.00       1       5
      49    0.00       1       5
      50    0.00       1       5
      51    0.00       1       5
      52    0.00       1       5
      53    0.00       1       5
      54    7.89       1       5
      55    7.89       1       5
      56    0.00       1       5
      57    7.89       1       5
      58    0.00       1       5
      59    0.00       1       5
      60    0.00       1       5
      61    8.93       1       5
      62    0.00       1       5
      63    0.00       1       5
      64    0.00       1       5
      65    0.00       1       5
      66    8.93       1       5
      67    0.00       1       5
      68    0.00       1       5
      69    0.00       1       5
      70    9.11       1       5
      71    9.11       1       5
      72    0.00       1       5
      73    9.11       1       5
      74    9.11       1       5
      75    0.00       1       5
      76    0.00       1       5
      77    0.00       1       5
      78    9.11       1       5
      79    0.00       1       5
      80    0.00       1       5
      81    0.00       1       5
      82    9.11       1       5
      83    0.00       1       5
      84    0.00       1       5
      85    0.00       1       5
      86    0.00       1       5
      87    0.00       1       5
      88    9.11       1       5
      89    2.45       1       5
      90    9.11       1       5
      91    3.78       1       5
      92    3.72       1       5
      93    3.72       1       5
      94    8.77       1       5
      95    8.77       1       5
      96    8.77       1       5
      97    0.87       1       5
      98    0.49       1       5
      99    0.72       1       5
     100    1.42       1       5
     101    3.57       1       5
     102    2.32       1       5
     103    8.61       1       5
     104    3.57       1       5
     105    8.61       1       5
     106    8.61       1       5
     107    8.61       1       5
     108    0.00       1       5
     109    8.61       1       5
     110    8.61       1       5
     111    0.00       1       5
     112    8.61       1       5
     113    8.61       1       5
     114    0.00       1       5
     115    8.61       1       5
     116    0.00       1       5
     117    0.00       1       5
     118    0.00       1       5
     119    0.00       1       5
     120    0.00       1       5
     121    0.00       1       5
     122    8.61       1       5
     123    8.61       1       5
     124    3.60       1       5
     125    8.61       1       5
     126    0.00       1       5
     127    0.00       1       5
     128    8.61       1       5
     129    0.00       1       5
     130    3.62       1       5
     131    0.00       1       5
     132    8.77       1       5
     133    0.00       1       5
     134    8.77       1       5
     135    0.00       1       5
     136    8.77       1       5
     137    0.00       1       5
     138    0.00       1       5
     139    8.77       1       5
     140    0.00       1       5
     141    0.00       1       5
     142    8.77       1       5
     143    0.00       1       5
     144    0.00       1       5
     145    0.00       1       5
     146    8.77       1       5
     147    0.00       1       5
     148    0.00       1       5
     149    8.77       1       5
     150    0.00       1       5
     151    8.77       1       5
     152    3.65       1       5
     153    8.16       1       5
     154    0.00       1       5
     155    8.16       1       5
     156    0.00       1       5
     157    8.16       1       5
     158    0.00       1       5
     159    0.00       1       5
     160    0.00       1       5
     161    0.00       1       5
     162    8.16       1       5
     163    0.00       1       5
     164    8.16       1       5
     165    0.00       1       5
     166    0.00       1       5
     167    0.00       1       5
     168    8.30       1       5
     169    0.00       1       5
     170    0.00       1       5
     171    0.00       1       5
     172    0.00       1       5
     173    8.30       1       5
     174    0.00       1       5
     175    0.00       1       5
     176    0.00       1       5
     177    7.29       1       5
     178    0.00       1       5
     179    0.00       1       5
     180    0.00       1       5
     181    0.00       1       5
     182    0.00       1       5
     183    0.00       1       5
     184    0.00       1       5
     185    0.00       1       5
     186    0.00       1       5
     187    0.00       1       5
     188    0.00       1       5
     189    0.00       1       5
     190    3.28       1       5
     191    6.50       1       5
     192    0.00       1       5
     193    0.00       1       5
     194    0.00       1       5
     195    6.50       1       5
     196    0.00       1       5
     197    0.00       1       5
     198    0.00       1       5
     199    0.00       1       5
     200    6.50       1       5
     201    0.00       1       5
     202    6.50       1       5
