2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
    1.00 1.9e-05 1.1e-09     7.7
    2.00   4e-05 2.4e-09     7.6
    3.00 7.2e-05 3.5e-09     7.5
    4.00 0.00012 6.1e-09     7.5
    5.00 0.00017   1e-08     7.5
    6.00 0.00024   2e-08     7.4
    7.00 0.00031 1.6e-08     7.2
    8.00 2.7e-07 2.1e-12     8.2
    9.00 6.9e-07 5.6e-12     8.1
   10.00 1.6e-06 1.4e-11     7.9
   11.00 3.5e-06 3.2e-11     7.9
   12.00 6.7e-06 6.3e-11     7.8
   13.00 1.1e-05 1.1e-10     7.9
   14.00 1.6e-05 1.7e-10     7.9
   15.00 2.2e-05 2.5e-10     7.9
   16.00 2.9e-05 3.6e-10     7.8
   17.00 3.5e-05 3.5e-10     7.9
   18.00 4.2e-05 5.6e-10     7.8
   19.00   5e-05 8.9e-11     8.3
   20.00   0.027     3.4     4.4
   21.00  0.0031     1.6     8.4
   22.00   0.031     4.1     4.1
   23.00 0.00067   0.025       8
   24.00 1.1e-07 1.7e-09     8.1
   25.00 1.4e-07   3e-14     8.2
   26.00 2.5e-07 5.6e-14     8.1
   27.00   4e-07 9.2e-14       8
   28.00 5.7e-07 1.4e-13       8
   29.00 7.7e-07 1.9e-13       8
   30.00 9.8e-07 2.6e-13     8.1
   31.00 5.7e-05   0.016     8.1
   32.00 1.7e-07 5.3e-14     8.4
   33.00 3.7e-07 9.1e-14     8.3
   34.00 6.9e-07 1.8e-13     8.2
   35.00 1.1e-06 2.9e-13       8
   36.00 1.5e-06 4.2e-13     8.1
   37.00 1.9e-06 5.6e-13       8
   38.00 2.2e-06 7.1e-13       8
   39.00 2.5e-06   1e-12     8.1
   40.00 2.8e-06 2.6e-12       8
   41.00 3.1e-06 1.4e-11     7.9
   42.00 3.4e-06 1.1e-10       8
   43.00 3.7e-06 1.5e-12       8
   44.00 3.9e-07 1.5e-13       8
   45.00  0.0015    0.77     7.4
   46.00 2.3e-07 1.3e-09     8.1
   47.00 3.8e-07 1.2e-13     7.9
   48.00 7.5e-07 2.5e-13     7.9
   49.00 1.3e-06 4.3e-13       8
   50.00 1.8e-06 6.6e-13     8.1
   51.00 2.4e-06 9.1e-13     8.2
   52.00   3e-06 1.2e-12       8
   53.00 3.5e-06 1.7e-12       8
   54.00  0.0011    0.53     7.6
   55.00 2.5e-07 2.1e-10     7.9
   56.00   5e-07 1.8e-13     7.9
   57.00 9.7e-07 3.6e-13     7.9
   58.00 1.6e-06 6.2e-13     7.8
   59.00 2.3e-06 9.4e-13       8
   60.00   3e-06 1.3e-12       8
   61.00 3.7e-06 1.7e-12     7.8
   62.00 4.3e-06 2.5e-12     7.9
   63.00 4.9e-06 7.1e-12       8
   64.00 5.4e-06 4.2e-11       8
   65.00 4.8e-07 2.4e-13     7.9
   66.00 1.1e-06 5.8e-13     7.8
   67.00 2.2e-06 1.2e-12     7.8
   68.00 3.7e-06 2.2e-12     7.9
   69.00 5.2e-06 3.2e-12       8
   70.00 6.5e-06 4.2e-12     7.9
   71.00 7.5e-06 5.6e-12       8
   72.00 8.4e-06   1e-11       8
   73.00 9.1e-06 4.2e-11     7.9
   74.00 9.9e-06 2.9e-10       8
   75.00 1.1e-05 8.8e-12     7.9
   76.00 1.1e-05   1e-11     7.8
